ID,SPEAKER,ACC,REPETITION,TRIAL,INTERVAL,ONSET,OFFSET,INTSAMPLE,POSX,POSY,TOTSAMPLE,idx,CONDITION
PL1.acc_kap_4_617,PL1,acc,4,617,1,327,341,6,56.0958036777138,9.80100355252942,6,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,1,327,341,7,56.0934694371449,10.0291872121877,7,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,1,327,341,8,56.0827792591489,10.2893616766736,8,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,1,327,341,9,56.068990155345,10.5917325216378,9,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,1,327,341,10,56.0580576104788,10.9470154318327,10,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,1,327,341,11,56.0549030033548,11.3617976387405,11,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,1,327,341,12,56.0618431786456,11.8345513145372,12,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,1,327,341,13,56.0778836914694,12.3554091402849,13,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,1,327,341,14,56.0991796212043,12.9099037081885,14,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,1,327,341,15,56.1203623282511,13.4837505083763,15,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,2,342,350,1,56.1355965399147,14.0654503581365,16,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,2,342,350,2,56.1389015481497,14.6451399509126,17,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,2,342,350,3,56.1241365055723,15.2115959969149,18,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,2,342,350,4,56.085445162666,15.750183028177,19,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,2,342,350,5,56.0185032926842,16.2437103684286,20,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,2,342,350,6,55.9220813518935,16.6758497272307,21,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,2,342,350,7,55.7992384999474,17.0352522905961,22,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,2,342,350,8,55.6574722731954,17.318344500289,23,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,2,342,350,9,55.5078222656115,17.5298034148743,24,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,3,351,363,1,55.3630280469163,17.6811435679932,25,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,3,351,363,2,55.2352701657295,17.7876870847475,26,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,3,351,363,3,55.1339265292496,17.8649752403481,27,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,3,351,363,4,55.0639419225286,17.9258451886583,28,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,3,351,363,5,55.0252207223335,17.9785045853996,29,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,3,351,363,6,55.0131373231905,18.0262583226088,30,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,3,351,363,7,55.0199968462427,18.0686814002076,31,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,3,351,363,8,55.0369420307075,18.1035175358593,32,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,3,351,363,9,55.0558197635464,18.1288372119035,33,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,3,351,363,10,55.0706591976643,18.1445082856232,34,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,3,351,363,11,55.0782554916978,18.1527523801658,35,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,3,351,363,12,55.0780078729686,18.1574150028934,36,4,ka
PL1.acc_kap_4_617,PL1,acc,4,617,3,351,363,13,55.0710568964523,18.1625755907319,37,4,ka
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,1,328,338,1,56.0119545708157,9.90124314334402,1,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,1,328,338,2,56.0529713616197,10.0531714318038,2,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,1,328,338,3,56.0960320144707,10.2687454247875,3,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,1,328,338,4,56.136715902804,10.5532773958988,4,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,1,328,338,5,56.1682039231797,10.906051187047,5,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,1,328,338,6,56.1813683526064,11.3223542047801,6,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,1,328,338,7,56.1648931574983,11.7957991202649,7,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,1,328,338,8,56.1055462968065,12.3222227213379,8,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,1,328,338,9,55.9892259195293,12.9048014373527,9,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,1,328,338,10,55.8025915939531,13.5555733558439,10,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,1,328,338,11,55.5344363276923,14.2874971702875,11,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,2,339,346,1,55.1758672310871,15.0981120387862,12,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,2,339,346,2,54.7200829478578,15.9561646550293,13,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,2,339,346,3,54.1641738259093,16.8041550261612,14,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,2,339,346,4,53.5144877537122,17.5778164432558,15,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,2,339,346,5,52.7929808405727,18.2301908606157,16,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,2,339,346,6,52.0392773574459,18.7452690084482,17,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,2,339,346,7,51.3048897882848,19.1347966261706,18,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,2,339,346,8,50.6412408918247,19.4236905354104,19,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,3,347,355,1,50.0873845024087,19.6354096163302,20,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,3,347,355,2,49.6627988130502,19.7861071898225,21,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,3,347,355,3,49.3669273186885,19.8876308464056,22,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,3,347,355,4,49.1833969504315,19.9520895327262,23,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,3,347,355,5,49.0859090941478,19.9921883377834,24,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,3,347,355,6,49.0443368794791,20.0178104600748,25,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,3,347,355,7,49.030582557876,20.033735845984,26,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,3,347,355,8,49.0233055483765,20.0412501200544,27,5,ki
PL1.acc_kim_1_x__x_Repeat_x__x__110,PL1,acc,1,x,3,347,355,9,49.0105241310965,20.0418612826357,28,5,ki
PL1.acc_kim_2_221,PL1,acc,2,221,1,347,359,1,56.1774823885208,7.1786077221192,1,6,ki
